,Price,Levy,Manufacturer,Model,Prod. year,Category,Leather interior,Fuel type,Engine volume,Mileage,Cylinders,Gear box type,Drive wheels,Color,Airbags,Turbo,Mileage_BIN,left wheel,right wheel
0,13328,1399.0,lexus,rx 450,2010,jeep,1,hybrid,3.41,186005.0,6.0,automatic,4x4,silver,12,0,5.0,1,0
1,16621,1018.0,chevrolet,equinox,2011,jeep,0,petrol,3.0,192000.0,6.0,tiptronic,4x4,black,8,0,5.0,1,0
2,8467,0.0,honda,fit,2006,hatchback,0,petrol,1.3,200000.0,4.0,variator,Front,black,2,0,5.0,0,1
3,3607,862.0,ford,escape,2011,jeep,1,hybrid,2.5,168966.0,4.0,automatic,4x4,white,0,0,4.0,1,0
4,11726,446.0,honda,fit,2014,hatchback,1,petrol,1.3,91901.0,4.0,automatic,Front,silver,4,0,2.0,1,0
5,39493,891.0,hyundai,santa fe,2016,jeep,1,diesel,2.0,160931.0,4.0,automatic,Front,white,4,0,4.0,1,0
6,1803,761.0,toyota,prius,2010,hatchback,1,hybrid,1.8,258909.0,4.0,automatic,Front,white,12,0,7.0,1,0
7,549,751.0,hyundai,sonata,2013,sedan,1,petrol,2.4,216118.0,4.0,automatic,Front,grey,12,0,6.0,1,0
8,1098,394.0,toyota,camry,2014,sedan,1,hybrid,2.5,343306.2,4.0,automatic,Front,black,12,0,9.0,1,0
9,26657,0.0,lexus,rx 350,2007,jeep,1,petrol,3.41,128500.0,6.0,automatic,4x4,silver,12,0,3.0,1,0
10,941,1053.0,mercedes-benz,e 350,2014,sedan,1,diesel,3.41,184467.0,6.0,automatic,Rear,white,12,0,5.0,1,0
11,8781,0.0,ford,transit,1999,microbus,0,cng,3.41,0.0,8.0,manual,Rear,blue,0,0,0.0,1,0
12,3000,0.0,opel,vectra,1997,goods wagon,0,cng,1.6,343306.2,4.0,manual,Front,white,4,0,9.0,1,0
13,1019,1055.0,lexus,rx 450,2013,jeep,1,hybrid,3.41,138038.0,6.0,automatic,Front,white,12,0,4.0,1,0
14,59464,891.0,hyundai,santa fe,2016,jeep,1,diesel,2.0,76000.0,4.0,automatic,Front,white,4,0,2.0,1,0
15,549,1079.0,toyota,chr,2018,jeep,1,petrol,2.0,74146.0,4.0,automatic,Front,white,12,0,2.0,1,0
16,7683,810.0,hyundai,elantra,2016,sedan,1,petrol,1.8,121840.0,4.0,automatic,Front,blue,12,0,3.0,1,0
17,28382,810.0,hyundai,elantra,2016,sedan,1,petrol,1.8,54317.0,4.0,automatic,Front,white,4,0,1.0,1,0
18,549,2109.1000000000004,hyundai,sonata,2006,sedan,1,petrol,3.3,295059.0,6.0,automatic,Rear,blue,12,0,8.0,1,0
19,941,1850.0,lexus,rx 400,2008,jeep,1,hybrid,3.41,343306.2,6.0,automatic,4x4,black,12,0,9.0,1,0
